Point_Name,X_m,Y_m,Z_m,X_Ri,Y_Ri,Z_Ri
beacon1,0,0,0,0.034925,0,0.46355
beacon2,0,0,0,0.034925,0.401448079,0
beacon3,0,0,0,0.034925,0,-0.46355
beacon4,0,0,0,0.034925,-0.401448079,0
